,partido,partido_clean
1,Ciudadanos,Ciudadanos
2,N.C.,NS/NC
3,EAJ-PNV,EAJ-PNV
4,PP,PP
5,EH Bildu,EH Bildu
6,PSOE,PSOE
7,Podemos,Unidas Podemos
8,No votar‡,No vota/En blanco
9,No sabe todav’a,NS/NC
10,IU,Unidas Podemos
11,En blanco,No vota/En blanco
12,VOX,VOX
13,Comprom’s,Compromis
14,PACMA,Otros
15,Partido Libertario,Otros
16,EQUO,Otros
17,ERC,ERC
18,JxCat,JxCat
19,En Comœ Podem,Unidas Podemos
20,Voto nulo,No vota/En blanco
21,Poble Lliure,Otros
22,Los Verdes,Otros
23,Foro Asturias,Otros
24,Unidas Podemos,Unidas Podemos
25,BNG,Otros
26,Esca–os en Blanco,No vota/En blanco
27,En Marea,Unidas Podemos
28,UPL,Otros
29,Otros partidos,Otros
30,UPN,Otros
31,Actœa,Otros
32,CC-PNC,Otros
33,PRC,Otros
34,Nueva Canarias,Otros
35,CHA,Otros
